 value |                                      value                                       | entryid  
-------+----------------------------------------------------------------------------------+----------
 2.3   | Luftverkehr                                                                      | 1019469
 2.3   | Luftverkehr                                                                      | 1019469
 2.3   | Luftverkehr                                                                      | 1019469
 2.3   | Luftverkehr                                                                      | 1019469
 6     | Kartoffel                                                                        | 1030119
 6     | Kartoffel                                                                        | 1030119
 6     | Kartoffel                                                                        | 1030119
 6     | Kartoffel                                                                        | 1030119
 2.2   | Autobahn                                                                         | 1037209
 2.2   | Autobahn                                                                         | 1037209
 2.2   | Autobahn                                                                         | 1037209
 2.2   | Autobahn                                                                         | 1037209
 2.1   | Eisenbahnkapazität                                                               | 5719707
 2.1   | Eisenbahnkapazität                                                               | 5719707
 2.1   | Eisenbahnkapazität                                                               | 5719707
 2.1   | Eisenbahnkapazität                                                               | 5719707
 1.5.2 | Abfallwirtschaft                                                                 | 5969964
 1.5.2 | Abfallwirtschaft                                                                 | 5969964
 1.5.2 | Abfallwirtschaft                                                                 | 5969964
 1.5.2 | Abfallwirtschaft                                                                 | 5969964
 2.2   | Autobahn                                                                         | 7641225
 2.2   | Autobahn                                                                         | 7641225
 2.2   | Autobahn                                                                         | 7641225
 2.2   | Autobahn                                                                         | 7641225
 1.5.0 | ganzheitliche Politik zum Schutz und zur nachhaltigen Entwicklung des Alpenraums | 8923779
 1.5.0 | ganzheitliche Politik zum Schutz und zur nachhaltigen Entwicklung des Alpenraums | 8923779
 1.5.0 | ganzheitliche Politik zum Schutz und zur nachhaltigen Entwicklung des Alpenraums | 8923779
 1.5.0 | ganzheitliche Politik zum Schutz und zur nachhaltigen Entwicklung des Alpenraums | 8923779
 4.1   | Bodenverbesserung                                                                | 9712227
 4.1   | Bodenverbesserung                                                                | 9712227
 4.1   | Bodenverbesserung                                                                | 9712227
 4.1   | Bodenverbesserung                                                                | 9712227
 1.7   | räumliche Auswirkungen                                                           | 10667359
 1.7   | räumliche Auswirkungen                                                           | 10667359
 1.7   | räumliche Auswirkungen                                                           | 10667359
 1.7   | räumliche Auswirkungen                                                           | 10667359
 1.1   | nachhaltige Nutzung                                                              | 10664799
 1.1   | nachhaltige Nutzung                                                              | 10664799
 1.1   | nachhaltige Nutzung                                                              | 10664799
 1.1   | nachhaltige Nutzung                                                              | 10664799
 3.5   | Tourismustätigkeiten                                                             | 12123115
 3.5   | Tourismustätigkeiten                                                             | 12123115
 3.5   | Tourismustätigkeiten                                                             | 12123115
 3.5   | Tourismustätigkeiten                                                             | 12123115
 2.3   | Luftverkehr                                                                      | 1019469
 2.3   | Luftverkehr                                                                      | 1019469
 2.3   | Luftverkehr                                                                      | 1019469
 2.3   | Luftverkehr                                                                      | 1019469
 6     | Kartoffel                                                                        | 1030119
 6     | Kartoffel                                                                        | 1030119
 6     | Kartoffel                                                                        | 1030119
 6     | Kartoffel                                                                        | 1030119
 2.2   | Autobahn                                                                         | 1037209
 2.2   | Autobahn                                                                         | 1037209
 2.2   | Autobahn                                                                         | 1037209
 2.2   | Autobahn                                                                         | 1037209
 2.1   | Eisenbahnkapazität                                                               | 5719707
 2.1   | Eisenbahnkapazität                                                               | 5719707
 2.1   | Eisenbahnkapazität                                                               | 5719707
 2.1   | Eisenbahnkapazität                                                               | 5719707
 1.5.2 | Abfallwirtschaft                                                                 | 5969964
 1.5.2 | Abfallwirtschaft                                                                 | 5969964
 1.5.2 | Abfallwirtschaft                                                                 | 5969964
 1.5.2 | Abfallwirtschaft                                                                 | 5969964
 2.2   | Autobahn                                                                         | 7641225
 2.2   | Autobahn                                                                         | 7641225
 2.2   | Autobahn                                                                         | 7641225
 2.2   | Autobahn                                                                         | 7641225
 1.5.0 | ganzheitliche Politik zum Schutz und zur nachhaltigen Entwicklung des Alpenraums | 8923779
 1.5.0 | ganzheitliche Politik zum Schutz und zur nachhaltigen Entwicklung des Alpenraums | 8923779
 1.5.0 | ganzheitliche Politik zum Schutz und zur nachhaltigen Entwicklung des Alpenraums | 8923779
 1.5.0 | ganzheitliche Politik zum Schutz und zur nachhaltigen Entwicklung des Alpenraums | 8923779
 4.1   | Bodenverbesserung                                                                | 9712227
 4.1   | Bodenverbesserung                                                                | 9712227
 4.1   | Bodenverbesserung                                                                | 9712227
 4.1   | Bodenverbesserung                                                                | 9712227
 1.1   | nachhaltige Nutzung                                                              | 10664799
 1.1   | nachhaltige Nutzung                                                              | 10664799
 1.1   | nachhaltige Nutzung                                                              | 10664799
 1.1   | nachhaltige Nutzung                                                              | 10664799
